scheme,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,pearson_sd,spearman_sd,rmse_sd,r2_sd,auprc_synergy_sd,prevalence_synergy_sd,model_label
random,mean,,,9.365059497801065,-1.5433767059702674e-05,0.05391736182568854,0.05391736182568854,,,0.03971804506795772,1.2372899691064292e-05,0.001243982020172455,0.001243982020172455,Global mean
random,history_ridge,0.6165391149968974,0.638269747164907,7.379953890842692,0.3789730768612807,0.41996682285021275,0.05391736182568854,0.004447068459492123,0.0005696639580776763,0.015678267988323585,0.006027993997402177,0.014568170784738446,0.001243982020172455,Screen history (ridge on in-fold means)
random,lgbm_chem_bio,0.5861971018148018,0.5840381572091066,7.591762848045111,0.3428258769137102,0.3928936719592108,0.05391736182568854,0.0036185583252170126,0.0016420400803133061,0.012770530942722907,0.0039332810985308435,0.007909454219519432,0.001243982020172455,LightGBM: chemistry + biology
random,lgbm_full,0.6348673701919371,0.6609617870049362,7.266941781150746,0.3978153741125034,0.4718482658587402,0.05391736182568854,0.004523560859478313,0.00556539588783178,0.05127184570473902,0.01118148803938476,0.009632882413476387,0.001243982020172455,LightGBM: chemistry + biology + history
cold_pair,mean,,,9.419253037111085,-0.00013436068424869477,0.0538638614174807,0.0538638614174807,,,0.049745856700596676,0.00012272748171504274,0.0027161888867718725,0.0027161888867718725,Global mean
cold_pair,history_ridge,0.5650901802608347,0.5457608665896324,7.8899483363359115,0.2982137213821335,0.32068033669835455,0.0538638614174807,0.00949249398506665,0.00359676642285591,0.08405263746743313,0.013764560796484035,0.004988279746278075,0.0027161888867718725,Screen history (ridge on in-fold means)
cold_pair,lgbm_chem_bio,0.5506317561849023,0.5217158211021647,7.862944815143194,0.3030438254070846,0.3315257458499606,0.0538638614174807,0.0093391289614085,0.0042742619291573315,0.07942731842599672,0.010176535379715282,0.016872413132991673,0.0027161888867718725,LightGBM: chemistry + biology
cold_pair,lgbm_full,0.5715764948372506,0.5596337932703764,7.730806715292,0.3262538504022059,0.33794432814377,0.0538638614174807,0.008992769113107793,0.003099020506871248,0.05975566348911878,0.009770891474615302,0.005902782699075974,0.0027161888867718725,LightGBM: chemistry + biology + history
cold_drug,mean,,,9.81786396587695,-0.0028244911564467103,0.05545720915118901,0.05545720915118901,,,0.2917831352147849,0.002616482961781514,0.005347942237703466,0.005347942237703466,Global mean
cold_drug,history_ridge,0.4437339881239532,0.4081685222048845,9.56688306491037,0.04755872296012279,0.23305065959409246,0.05545720915118901,0.02804520230178889,0.0349118203043679,0.23207976815606216,0.011902389126667266,0.0044574037487010955,0.005347942237703466,Screen history (ridge on in-fold means)
cold_drug,lgbm_chem_bio,0.44339687987263554,0.39311126012979564,8.799115396163307,0.1940919747129095,0.22551968767645078,0.05545720915118901,0.02340826658830397,0.023068160148192008,0.20642154532757537,0.02352442265947624,0.01635906543988026,0.005347942237703466,LightGBM: chemistry + biology
cold_drug,lgbm_full,0.41049766150929434,0.3950828567437778,9.144022918405177,0.1298088199652271,0.2257615873096757,0.05545720915118901,0.01818493040070963,0.04093825461453404,0.2093179227272976,0.01569445951717584,0.019665730306557033,0.005347942237703466,LightGBM: chemistry + biology + history
cold_cell,mean,,,6.617841142188109,-0.056296284674543916,0.054336083667262856,0.054336083667262856,,,0.4237200724645632,0.026581198325110425,0.013828153022754393,0.013828153022754393,Global mean
cold_cell,history_ridge,0.4845819665197619,0.49166075684115224,5.940183733763056,0.14936488254062916,0.2506548424266136,0.054336083667262856,0.006368297062014901,0.00927211200914688,0.4659533568589327,0.05049667260029699,0.02710541974326313,0.013828153022754393,Screen history (ridge on in-fold means)
cold_cell,lgbm_chem_bio,0.4132923094390763,0.4214715619073937,6.033799455907384,0.12040860142294445,0.24401541379835423,0.054336083667262856,0.07162198838488214,0.04447690327413399,0.5090840598535793,0.09748834180860928,0.08950728671093527,0.013828153022754393,LightGBM: chemistry + biology
cold_cell,lgbm_full,0.4535455395724058,0.43022367193502714,5.769956997182774,0.1970208754252066,0.25368415917940274,0.054336083667262856,0.028484808720622923,0.025759710970949205,0.3754642400719763,0.02586225713342918,0.010677938225584391,0.013828153022754393,LightGBM: chemistry + biology + history
