scheme,fold,model,pearson,spearman,rmse,r2,auprc_synergy,prevalence_synergy,n_test
random,0,mean,,,9.35147954235342,-1.919684233131491e-06,0.05248162949593915,0.05248162949593915,77570
random,0,history_ridge,0.617167848375656,0.6376412821403362,7.362998342499286,0.3800601085893608,0.41826883420815536,0.05248162949593915,77570
random,0,lgbm_chem_bio,0.586490119880611,0.5821618924191068,7.58027894220508,0.34293164449739366,0.3876089389711977,0.05248162949593915,77570
random,0,lgbm_full,0.6320603498610996,0.6546080103521751,7.326136330845749,0.3862518872359556,0.47204152650579834,0.05248162949593915,77570
random,1,mean,,,9.333912531637031,-1.8176356980870167e-05,0.05459655274658691,0.05459655274658691,77569
random,1,history_ridge,0.6118111399609114,0.6387521783983563,7.393926218899335,0.3724755301651633,0.4063220520999465,0.05459655274658691,77569
random,1,lgbm_chem_bio,0.5824409432611225,0.5852129717827986,7.589493784141275,0.33884077871854035,0.38908521184070266,0.05459655274658691,77569
random,1,lgbm_full,0.6324560303608158,0.6633045452015323,7.238242351933012,0.39862318518122963,0.46212020722298314,0.05459655274658691,77569
random,2,mean,,,9.409786419412741,-2.6205259965106364e-05,0.05467390323453957,0.05467390323453957,77569
random,2,history_ridge,0.6206383566541247,0.6384157809560287,7.382937111129453,0.3843835918293179,0.4353095822425364,0.05467390323453957,77569
random,2,lgbm_chem_bio,0.589660242302672,0.5847396074254143,7.6055158177889775,0.3467052075251966,0.40198686506573206,0.05467390323453957,77569
random,2,lgbm_full,0.640085730353896,0.6649728054611015,7.236446660673476,0.408571049920325,0.4813830638474391,0.05467390323453957,77569
cold_pair,0,mean,,,9.472398438850496,-0.00025409287636413147,0.05194921774814055,0.05194921774814055,77980
cold_pair,0,history_ridge,0.5672103528840924,0.5448900248515923,7.959473985513664,0.29374886739676764,0.3224237858806106,0.05194921774814055,77980
cold_pair,0,lgbm_chem_bio,0.5439833764923014,0.5262676298725486,7.948029665746203,0.2957783364701607,0.315213301282707,0.05194921774814055,77980
cold_pair,0,lgbm_full,0.5703695915846486,0.5607071223242587,7.78173534511917,0.32493850797256385,0.3437717393673885,0.05194921774814055,77980
cold_pair,1,mean,,,9.373803764403682,-8.842578347101337e-06,0.05266983790953031,0.05266983790953031,78413
cold_pair,1,history_ridge,0.5547168725359559,0.5426794771565392,7.913832625444478,0.2872358515164136,0.3150543273514724,0.05266983790953031,78413
cold_pair,1,lgbm_chem_bio,0.5466028096014145,0.5177876174924265,7.850052433024499,0.2986783591246863,0.3304566530110259,0.05266983790953031,78413
cold_pair,1,lgbm_full,0.5632481249961347,0.5561407962759043,7.745659212218763,0.3172072583308059,0.33196895592443393,0.05266983790953031,78413
cold_pair,2,mean,,,9.41155690807908,-0.00014014659803485152,0.05697252859477124,0.05697252859477124,78336
cold_pair,2,history_ridge,0.5733433153624559,0.5497130977607655,7.796538398049592,0.3136564452332192,0.3245628968629806,0.05697252859477124,78336
cold_pair,2,lgbm_chem_bio,0.561309082460991,0.5210922159415192,7.7907523466588815,0.31467478062640664,0.3489072832561488,0.05697252859477124,78336
cold_pair,2,lgbm_full,0.5811117679309685,0.5620534612109662,7.665025588538065,0.33661578490324795,0.3380922891394876,0.05697252859477124,78336
cold_drug,0,mean,,,10.127919425798222,-0.001328025342289596,0.05999345563122482,0.05999345563122482,97794
cold_drug,0,history_ridge,0.47257113841933845,0.4480901850699135,9.806196691144983,0.061277783601791036,0.23787485633232897,0.05999345563122482,97794
cold_drug,0,lgbm_chem_bio,0.4670305977076636,0.4077575200641405,8.953456840345167,0.217440469030885,0.2364842145940267,0.05999345563122482,97794
cold_drug,0,lgbm_full,0.43063138802762946,0.44186248835282405,9.345448239100312,0.14741798095631087,0.2399846750619804,0.05999345563122482,97794
cold_drug,1,mean,,,9.548658274708707,-0.0012997468002013957,0.05681776846577475,0.05681776846577475,137457
cold_drug,1,history_ridge,0.4420765823693564,0.39305854868955287,9.342786029602562,0.04141151156735334,0.22908492273677117,0.05681776846577475,137457
cold_drug,1,lgbm_chem_bio,0.44293926743716494,0.40505611695611915,8.564642756311285,0.19443997032614524,0.23335858723639358,0.05681776846577475,137457
cold_drug,1,lgbm_full,0.4055947585561631,0.3775828831082654,8.927617246548628,0.12471289777543981,0.2339803656604994,0.05681776846577475,137457
cold_drug,2,mean,,,9.77701419712392,-0.00584570132684914,0.049560403356567466,0.049560403356567466,154801
cold_drug,2,history_ridge,0.41655424358316473,0.38335683285518696,9.551666473983559,0.039986873711224,0.2321921997131773,0.049560403356567466,154801
cold_drug,2,lgbm_chem_bio,0.42022077447307804,0.36652014336912714,8.879246591833471,0.1703954847816983,0.20671626119893208,0.049560403356567466,154801
cold_drug,2,lgbm_full,0.39526683794409034,0.3658031987702439,9.15900326956659,0.11729558116393068,0.20331972120654732,0.049560403356567466,154801
cold_cell,0,mean,,,6.985511391529841,-0.08516492069832604,0.06980133968784291,0.06980133968784291,61059
cold_cell,0,history_ridge,0.4901135854271399,0.5016603132482477,6.221658623350181,0.13918130168915277,0.27382426126941944,0.06980133968784291,61059
