scheme,model,feature,family,gain
cold_drug,lgbm_chem_bio,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.015964172672544043
cold_pair,lgbm_chem_bio,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.015898111592253576
random,lgbm_chem_bio,chem_tpsa_sum,Chemistry: descriptors & similarity,0.015702832986984164
cold_cell,lgbm_chem_bio,chem_tpsa_sum,Chemistry: descriptors & similarity,0.015606931786887115
cold_pair,lgbm_chem_bio,chem_rings_sum,Chemistry: descriptors & similarity,0.015553682162375375
cold_drug,lgbm_chem_bio,chem_rings_sum,Chemistry: descriptors & similarity,0.015545296385544187
cold_drug,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.015232211113696244
random,lgbm_chem_bio,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.015091811882468697
random,lgbm_chem_bio,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.014947802646087376
cold_drug,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.014613851992793215
cold_drug,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.014523512849524129
cold_cell,lgbm_chem_bio,rna_pc29,Biology: RNA expression PCs,0.01425020914380188
cold_pair,lgbm_chem_bio,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.014229095054088467
cold_drug,lgbm_full,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.014177223034201812
cold_cell,lgbm_chem_bio,chem_rings_sum,Chemistry: descriptors & similarity,0.014016065514613525
cold_cell,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.013704680031598636
random,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.013687712966559315
cold_drug,lgbm_chem_bio,rna_pc13,Biology: RNA expression PCs,0.013682423964291637
cold_drug,lgbm_full,chem_qed_absdiff,Chemistry: descriptors & similarity,0.01344226294835049
cold_cell,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.013420644618877686
cold_pair,lgbm_chem_bio,rna_pc15,Biology: RNA expression PCs,0.01339555235654836
random,lgbm_chem_bio,rna_pc15,Biology: RNA expression PCs,0.013357642881481965
cold_drug,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.01331790088862213
cold_pair,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.013287076328157807
cold_cell,lgbm_chem_bio,chem_logp_absdiff,Chemistry: descriptors & similarity,0.013257333190547824
cold_pair,lgbm_full,n_drugcell_max_log,Screen history: in-fold counts,0.013111178410313187
cold_pair,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.013014598231995632
cold_drug,lgbm_full,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.012989237565316758
cold_pair,lgbm_chem_bio,rna_pc29,Biology: RNA expression PCs,0.012947745803781377
cold_pair,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012907628351386272
random,lgbm_chem_bio,rna_pc29,Biology: RNA expression PCs,0.012888950751093533
cold_drug,lgbm_full,chem_logp_absdiff,Chemistry: descriptors & similarity,0.012738331174929944
random,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.01271275174959422
cold_drug,lgbm_full,chem_logp_sum,Chemistry: descriptors & similarity,0.012672575140696023
cold_drug,lgbm_chem_bio,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.012619542866927477
cold_pair,lgbm_full,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.012613027540608788
random,lgbm_full,n_drugcell_max_log,Screen history: in-fold counts,0.012572660407594749
cold_drug,lgbm_full,chem_tanimoto,Chemistry: descriptors & similarity,0.012523392303787064
cold_pair,lgbm_chem_bio,chem_tanimoto,Chemistry: descriptors & similarity,0.012511415773488646
cold_pair,lgbm_chem_bio,rna_pc13,Biology: RNA expression PCs,0.012497059464772685
cold_drug,lgbm_full,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012454248166639854
random,lgbm_full,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.012449987620319949
random,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012442995998544664
cold_pair,lgbm_full,chem_logp_sum,Chemistry: descriptors & similarity,0.01242446888092187
random,lgbm_chem_bio,rna_pc13,Biology: RNA expression PCs,0.012410725124623948
cold_pair,lgbm_full,chem_logp_absdiff,Chemistry: descriptors & similarity,0.012381520694226676
random,lgbm_chem_bio,chem_qed_absdiff,Chemistry: descriptors & similarity,0.0123570004980263
cold_cell,lgbm_full,chem_frac_csp3_sum,Chemistry: descriptors & similarity,0.012355071016349957
cold_cell,lgbm_full,chem_tpsa_sum,Chemistry: descriptors & similarity,0.01228056236852904
random,lgbm_full,chem_tpsa_sum,Chemistry: descriptors & similarity,0.012277031056854829
cold_cell,lgbm_chem_bio,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012229363662172298
cold_pair,lgbm_full,chem_tpsa_sum,Chemistry: descriptors & similarity,0.01222191208302205
random,lgbm_full,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.01218286848004413
cold_drug,lgbm_full,chem_tpsa_sum,Chemistry: descriptors & similarity,0.012181357208536005
cold_pair,lgbm_full,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012162204951798247
cold_cell,lgbm_full,chem_frac_csp3_absdiff,Chemistry: descriptors & similarity,0.012144048460874551
cold_drug,lgbm_full,chem_qed_sum,Chemistry: descriptors & similarity,0.01213778891116369
cold_cell,lgbm_full,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.012120800674325555
random,lgbm_full,chem_logp_absdiff,Chemistry: descriptors & similarity,0.012071262021009334
cold_cell,lgbm_full,chem_tanimoto,Chemistry: descriptors & similarity,0.012054395411345327
cold_pair,lgbm_full,chem_qed_absdiff,Chemistry: descriptors & similarity,0.011978144471175131
cold_cell,lgbm_chem_bio,rna_pc13,Biology: RNA expression PCs,0.011929615314782788
random,lgbm_full,chem_qed_sum,Chemistry: descriptors & similarity,0.011924447743103804
cold_pair,lgbm_full,chem_tanimoto,Chemistry: descriptors & similarity,0.011922289069089993
cold_pair,lgbm_full,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.011909671721388815
cold_pair,lgbm_full,chem_qed_sum,Chemistry: descriptors & similarity,0.011901390510824646
cold_drug,lgbm_full,n_drugcell_max_log,Screen history: in-fold counts,0.011879973711785688
random,lgbm_full,chem_tanimoto,Chemistry: descriptors & similarity,0.011871411228131923
random,lgbm_full,chem_logp_sum,Chemistry: descriptors & similarity,0.011861892750776511
cold_cell,lgbm_full,chem_logp_sum,Chemistry: descriptors & similarity,0.011848729694430874
random,lgbm_chem_bio,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.01171127084569251
random,lgbm_full,chem_tpsa_absdiff,Chemistry: descriptors & similarity,0.011706647413080848
cold_cell,lgbm_full,chem_logp_absdiff,Chemistry: descriptors & similarity,0.011689703829829602
cold_cell,lgbm_full,chem_qed_absdiff,Chemistry: descriptors & similarity,0.011653845039035512
random,lgbm_full,chem_qed_absdiff,Chemistry: descriptors & similarity,0.0116508430698879
cold_cell,lgbm_full,chem_qed_sum,Chemistry: descriptors & similarity,0.011558803276077131
cold_drug,lgbm_full,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.01147011761259753
cold_drug,lgbm_chem_bio,rna_pc29,Biology: RNA expression PCs,0.011338450051261264
cold_pair,lgbm_chem_bio,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.01115031101559876
cold_cell,lgbm_chem_bio,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.011079960545967672
cold_cell,lgbm_full,n_drugcell_max_log,Screen history: in-fold counts,0.010874256612462663
cold_drug,lgbm_full,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.0108575093360421
cold_cell,lgbm_chem_bio,rna_pc15,Biology: RNA expression PCs,0.010616065797220972
cold_cell,lgbm_chem_bio,rna_pc1,Biology: RNA expression PCs,0.010611568346564215
random,lgbm_full,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.0105257986004628
cold_drug,lgbm_full,n_drug_max_log,Screen history: in-fold counts,0.010513386734056223
cold_cell,lgbm_full,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.010479188448110598
random,lgbm_full,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.010454722097649902
random,lgbm_full,n_drug_max_log,Screen history: in-fold counts,0.010335878118179454
cold_pair,lgbm_full,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.010204992954078528
cold_cell,lgbm_full,n_drug_max_log,Screen history: in-fold counts,0.010057697254592693
cold_cell,lgbm_full,chem_mol_wt_absdiff,Chemistry: descriptors & similarity,0.010057053857451217
cold_drug,lgbm_chem_bio,rna_pc15,Biology: RNA expression PCs,0.010018466187521733
cold_pair,lgbm_full,chem_mol_wt_sum,Chemistry: descriptors & similarity,0.009814539267332808
cold_pair,lgbm_full,n_drug_min_log,Screen history: in-fold counts,0.009515166972077747
random,lgbm_chem_bio,rna_pc1,Biology: RNA expression PCs,0.009395184589355397
cold_pair,lgbm_full,n_drug_max_log,Screen history: in-fold counts,0.009386036409157847
random,lgbm_full,n_drug_min_log,Screen history: in-fold counts,0.009314594351450517
cold_drug,lgbm_full,n_drug_min_log,Screen history: in-fold counts,0.009264987177976419
cold_drug,lgbm_chem_bio,rna_pc1,Biology: RNA expression PCs,0.009161120672578273
cold_pair,lgbm_chem_bio,rna_pc1,Biology: RNA expression PCs,0.009146347603253223
